Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Cupid - Twin Ver. (FIFTY FIFTY) - Sped Up Version,FIFTY FIFTY,The Beginning,5W30YJavMoHwG64cPD4L9C,76V1WuoxMcMG52jc8ifZVX,62,2023-09-22,145898,False,https://open.spotify.com/track/76V1WuoxMcMG52jc8ifZVX,0.753,0.773,11,-5.603,0,0.0448,0.36,2.1e-06,0.271,0.804,144.093
Cupid,FIFTY FIFTY,The Beginning,5W30YJavMoHwG64cPD4L9C,4TqmTBSWsZXMj3LouLEvXn,66,2023-09-22,174518,False,https://open.spotify.com/track/4TqmTBSWsZXMj3LouLEvXn,0.769,0.724,2,-5.388,1,0.0326,0.533,0.0,0.299,0.905,120.057
Back To Me,The Rose,DUAL,6ICDcaM2LlaMND4DDVe4so,20Ahyv93KKjMuDHAVy2yjr,60,2023-09-22,224969,True,https://open.spotify.com/track/20Ahyv93KKjMuDHAVy2yjr,0.595,0.835,1,-3.226,0,0.0406,0.0518,0.0,0.476,0.563,130.033
Tell Me,FIFTY FIFTY,The Beginning,5W30YJavMoHwG64cPD4L9C,7Laseg0WUtMJEHRv5A10T3,57,2023-09-22,218080,False,https://open.spotify.com/track/7Laseg0WUtMJEHRv5A10T3,0.751,0.786,1,-5.876,0,0.0549,0.173,0.0,0.119,0.77,111.958
Cupid (Twin Ver.) - Live Studio Version OT4,FIFTY FIFTY,The Beginning,5W30YJavMoHwG64cPD4L9C,4gXHG9domIKO6FIViDISA4,76,2023-09-22,174116,False,https://open.spotify.com/track/4gXHG9domIKO6FIViDISA4,0.775,0.646,11,-5.72,0,0.0314,0.321,0.000157,0.255,0.724,120.001
Either Way,IVE,Either Way,31ZO3EEc4JPomzMGed9BEV,6ezYHltHYhuJckdCsYsRJI,58,2023-09-25,166947,False,https://open.spotify.com/track/6ezYHltHYhuJckdCsYsRJI,0.701,0.588,8,-4.059,0,0.0475,0.461,0.0,0.24,0.394,123.078
X-GENE,XG,NEW DNA,5ltOyfF29bg84gvBJPLOgj,4JDJdj7QuqHEqDuOeQzboZ,57,2023-09-27,85640,False,https://open.spotify.com/track/4JDJdj7QuqHEqDuOeQzboZ,0.713,0.827,0,-5.267,0,0.231,0.417,0.000154,0.151,0.108,165.995
PUPPET SHOW,XG,NEW DNA,5ltOyfF29bg84gvBJPLOgj,7sDkXyDikXhpRz715MdiEp,63,2023-09-27,199960,False,https://open.spotify.com/track/7sDkXyDikXhpRz715MdiEp,0.781,0.611,0,-6.211,1,0.136,0.081,3.4e-06,0.208,0.722,149.996
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),4DKnznk5VbGVvAOYBbQrZJ,6ehWdR7cGDXnT7aKEASJxE,73,2023-09-29,201812,True,https://open.spotify.com/track/6ehWdR7cGDXnT7aKEASJxE,0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044
3D (feat. Jack Harlow) (Clean Ver.),"Jung Kook, Jack Harlow",3D : The Remixes,0fJ0beklzFwoBv01U8792s,0TaaG2kxjzSjVbmmiiSZEa,69,2023-10-02,202046,False,https://open.spotify.com/track/0TaaG2kxjzSjVbmmiiSZEa,0.858,0.83,1,-3.261,1,0.0891,0.0258,0.0,0.11,0.891,108.048
